IMG_ID	Domain	Genome_Status	Sequencing_Center	Phylum	Class	Order	Family	Genus	Species	Gram_Staining	Isolation_Country	Oxygen_Requirement	Genome_Size	Gene_Count	GC_Count	GC_%	CDS_Count	CDS_%	RNA_%	16S_rRNA_Count 	Horizontally_Transferred_Count	Horizontally_Transferred_%
2502171142	Bacteria	Draft	J. Craig Venter Institute	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	parvum	Gram-	-1	Facultative	1505070	2491	390630	0.26	2488	99.88	0.12	-1	182	7.31
2529292882	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	-1	Facultative	5297946	5204	2676175	0.51	5115	98.29	1.71	3	7	0.13
649633017	Bacteria	Finished	Univ of Tokyo	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	Gram+	-1	Anaerobe	2408831	2070	1447113	0.6	1999	96.57	3.43	4	15	0.72
2537561578	Bacteria	Draft	Washington University in St. Louis	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	acnes	Gram+	-1	Anaerobe	2490836	2660	1496270	0.6	2613	98.23	1.77	-1	-1	-1
2531839161	Bacteria	Draft	Univ of Maryland	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus	Gram+	USA	Facultative	2899532	2804	950075	0.33	2723	97.11	2.89	3	2	0.07
2519899580	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	nosocomialis	Gram-	-1	-1	3997474	3935	1548261	0.39	3854	97.94	2.06	4	22	0.56
2541047800	Bacteria	Draft	Broad Institute	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Gram-	-1	-1	5328527	5053	2685943	0.5	4941	97.78	2.22	7	-1	-1
2551306136	Bacteria	Draft	European Bioinformatics Institute	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	sp.	Gram-	-1	-1	3374751	4871	1346737	0.4	4823	99.01	0.99	1	572	11.74
2509276047	Bacteria	Permanent Draft	DOE Joint Genome Institute	Cyanobacteria	unclassified	Oscillatoriales	unclassified	Oscillatoria	sp.	Gram-	-1	-1	8594406	7104	4636225	0.54	7012	98.7	1.3	8	1846	25.99
2508501046	Bacteria	Finished	DOE Joint Genome Institute	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	suillum	Gram-	USA	Facultative	3806980	3539	2488533	0.65	3474	98.16	1.84	2	889	25.12
